,City,Crime_Count,Freq_Score,Total_Severity,Sev_Score,Recent_Count,Rec_Score,Latitude,Longitude,Raw_Score,Risk_Index,Risk_Category
1,Delhi,5400,1.0,27859.0,1.0,288,1.0,28.6139,77.209,1.0,100.0,Critical
2,Mumbai,4415,0.8175925925925925,22753.0,0.8167199109802936,234,0.8125,19.055,72.8692,0.8162250014291544,81.62,Critical
3,Bangalore,3588,0.6644444444444444,18188.0,0.652859040166553,199,0.6909722222222222,12.9768,77.5901,0.6651158382888436,66.51,High
4,Hyderabad,2881,0.5335185185185185,14547.0,0.5221651889874008,119,0.4131944444444444,17.3606,78.4741,0.5049123718912567,50.49,High
5,Kolkata,2518,0.4662962962962963,12866.0,0.46182562188161813,121,0.4201388888888889,22.5726,88.3639,0.45527654504894355,45.53,Medium
6,Chennai,2493,0.46166666666666667,12876.0,0.4621845723105639,115,0.3993055555555556,13.0837,80.2702,0.44940160670200335,44.94,Medium
7,Pune,2212,0.4096296296296296,10982.0,0.3941993610682365,135,0.46875,18.5214,73.8545,0.41528159627914646,41.53,Medium
8,Ahmedabad,1817,0.3364814814814815,9431.0,0.3385261495387487,80,0.2777777777777778,23.0215,72.5801,0.32555860796364766,32.56,Medium
9,Jaipur,1479,0.2738888888888889,7536.0,0.2705050432535267,74,0.2569444444444444,26.9155,75.819,0.26914646174585516,26.91,Medium
10,Lucknow,1456,0.2696296296296296,7465.0,0.2679564952080118,63,0.21875,26.8381,80.9346,0.25878444993505656,25.88,Medium
11,Kanpur,1112,0.20592592592592593,5496.0,0.19727915574859112,62,0.2152777777777778,26.4609,80.3218,0.2043375882253624,20.43,Low
12,Surat,1111,0.20574074074074075,5531.0,0.19853548224990128,59,0.2048611111111111,21.2095,72.8317,0.20268271141847904,20.27,Low
13,Nagpur,1053,0.195,5286.0,0.18974119674073012,47,0.16319444444444445,21.1498,79.0821,0.18653536758518097,18.65,Low
14,Agra,764,0.14148148148148149,3897.0,0.13988298216016368,44,0.1527777777777778,27.1753,78.0098,0.1431013410122136,14.31,Low
15,Ludhiana,761,0.14092592592592593,4001.0,0.1436160666211996,41,0.1423611111111111,30.909,75.8516,0.14228901924107246,14.23,Low
16,Visakhapatnam,728,0.1348148148148148,3711.0,0.1332065041817725,41,0.1423611111111111,17.6936,83.2921,0.13568074982085715,13.57,Low
17,Indore,699,0.12944444444444445,3639.0,0.130622061093363,40,0.1388888888888889,22.7204,75.8682,0.13180437999290076,13.18,Low
18,Patna,695,0.1287037037037037,3523.0,0.12645823611759216,41,0.1423611111111111,25.6093,85.1235,0.13053699815074057,13.05,Low
19,Thane,706,0.13074074074074074,3580.0,0.12850425356258302,36,0.125,19.3654,73.3685,0.1286979977213295,12.87,Low
20,Ghaziabad,704,0.13037037037037036,3553.0,0.12753508740442945,33,0.11458333333333333,28.775,77.4587,0.1260788497765866,12.61,Low
21,Bhopal,690,0.12777777777777777,3519.0,0.12631465594601385,31,0.1076388888888889,23.2585,77.402,0.12316475126729443,12.32,Low
22,Meerut,395,0.07314814814814814,2127.0,0.07634875623676371,15,0.052083333333333336,29.0019,77.768,0.07021542842063141,7.02,Low
23,Srinagar,371,0.0687037037037037,1807.0,0.0648623425104993,24,0.08333333333333333,34.0747,74.8204,0.07009308515234787,7.01,Low
24,Nashik,366,0.06777777777777778,1960.0,0.07035428407336947,18,0.0625,20.0112,73.7902,0.0677528247404589,6.78,Low
25,Vasai,362,0.06703703703703703,1859.0,0.06672888474101726,19,0.06597222222222222,19.3428,72.8054,0.06670081315566617,6.67,Low
26,Varanasi,355,0.06574074074074074,1804.0,0.06475465738181557,20,0.06944444444444445,25.3356,83.0076,0.06608704813791141,6.61,Low
27,Faridabad,354,0.06555555555555556,1821.0,0.06536487311102336,19,0.06597222222222222,28.4031,77.3106,0.06556261591107601,6.56,Low
28,Kalyan,355,0.06574074074074074,1704.0,0.06116515309235795,14,0.04861111111111111,19.2397,73.1366,0.0604845797554617,6.05,Low
29,Rajkot,320,0.05925925925925926,1632.0,0.058580710003948454,16,0.05555555555555555,22.3053,70.8028,0.0582470988163942,5.82,Low
