Report_Number,Date_Reported,Date_of_Occurrence,Time_of_Occurrence,City,Crime_Code,Crime_Description,Victim_Age,Victim_Gender,Weapon_Used,Crime_Domain,Police_Deployed,Case_Closed,Date_Case_Closed,Hour,Month,Day_of_Week,Year,Is_Weekend,Day_Name,Season,Time_Bucket,Victim_Age_Group,Weapon_Group,Latitude,Longitude
1,02-01-2020 00:00,2020-01-01 00:00:00,01-01-2020 01:11,Ahmedabad,576,IDENTITY THEFT,16,M,Blunt Object,Violent Crime,13,No,,1,1,2,2020,0,Wednesday,Winter,Night,Child,Blunt,23.0215,72.5801
2,01-01-2020 19:00,2020-01-01 01:00:00,01-01-2020 06:26,Chennai,128,HOMICIDE,37,M,Poison,Other Crime,9,No,,6,1,2,2020,0,Wednesday,Winter,Morning,Adult,Chemical,13.0837,80.2702
3,02-01-2020 05:00,2020-01-01 02:00:00,01-01-2020 14:30,Ludhiana,271,KIDNAPPING,48,F,Blunt Object,Other Crime,15,No,,14,1,2,2020,0,Wednesday,Winter,Afternoon,Adult,Blunt,30.909,75.8516
4,01-01-2020 05:00,2020-01-01 03:00:00,01-01-2020 14:46,Pune,170,BURGLARY,49,F,Firearm,Other Crime,1,Yes,29-04-2020 05:00,14,1,2,2020,0,Wednesday,Winter,Afternoon,Adult,Firearm,18.5214,73.8545
5,01-01-2020 21:00,2020-01-01 04:00:00,01-01-2020 16:51,Pune,421,VANDALISM,30,F,Other,Other Crime,18,Yes,08-01-2020 21:00,16,1,2,2020,0,Wednesday,Winter,Afternoon,Adult,Other,18.5214,73.8545
6,02-01-2020 03:00,2020-01-01 05:00:00,01-01-2020 17:09,Delhi,442,ASSAULT,16,M,Firearm,Violent Crime,18,Yes,30-03-2020 03:00,17,1,2,2020,0,Wednesday,Winter,Evening,Child,Firearm,28.6139,77.209
7,01-01-2020 16:00,2020-01-01 06:00:00,01-01-2020 14:08,Chennai,172,VEHICLE - STOLEN,64,F,Knife,Violent Crime,13,Yes,24-03-2020 16:00,14,1,2,2020,0,Wednesday,Winter,Afternoon,Senior,Sharp,13.0837,80.2702
8,02-01-2020 10:00,2020-01-01 07:00:00,02-01-2020 06:33,Chennai,169,COUNTERFEITING,78,X,Knife,Other Crime,8,No,,6,1,2,2020,0,Wednesday,Winter,Morning,Senior,Sharp,13.0837,80.2702
9,04-01-2020 03:00,2020-01-01 08:00:00,02-01-2020 06:34,Mumbai,338,EXTORTION,41,X,Blunt Object,Other Crime,1,No,,6,1,2,2020,0,Wednesday,Winter,Morning,Adult,Blunt,19.055,72.8692
10,03-01-2020 07:00,2020-01-01 09:00:00,01-01-2020 17:50,Chennai,497,PUBLIC INTOXICATION,29,M,Knife,Other Crime,4,No,,17,1,2,2020,0,Wednesday,Winter,Evening,Young Adult,Sharp,13.0837,80.2702
11,02-01-2020 13:00,2020-01-01 10:00:00,01-01-2020 19:42,Delhi,260,FRAUD,71,M,Explosives,Other Crime,5,Yes,01-02-2020 13:00,19,1,2,2020,0,Wednesday,Winter,Evening,Senior,Explosive,28.6139,77.209
12,03-01-2020 09:00,2020-01-01 11:00:00,01-01-2020 22:16,Surat,563,IDENTITY THEFT,26,M,Poison,Violent Crime,3,No,,22,1,2,2020,0,Wednesday,Winter,Night,Young Adult,Chemical,21.2095,72.8317
13,01-01-2020 16:00,2020-01-01 12:00:00,01-01-2020 23:14,Visakhapatnam,498,FRAUD,36,F,Poison,Other Crime,3,Yes,29-02-2020 16:00,23,1,2,2020,0,Wednesday,Winter,Night,Adult,Chemical,17.6936,83.2921
14,02-01-2020 22:00,2020-01-01 13:00:00,01-01-2020 17:46,Mumbai,436,ASSAULT,32,X,Unknown,Violent Crime,18,No,,17,1,2,2020,0,Wednesday,Winter,Evening,Adult,Unknown,19.055,72.8692
15,02-01-2020 00:00,2020-01-01 14:00:00,01-01-2020 22:28,Bangalore,266,SEXUAL ASSAULT,77,F,Unknown,Violent Crime,19,No,,22,1,2,2020,0,Wednesday,Winter,Night,Senior,Unknown,12.9768,77.5901
16,02-01-2020 07:00,2020-01-01 15:00:00,01-01-2020 18:54,Kolkata,357,COUNTERFEITING,51,F,Explosives,Other Crime,16,Yes,30-03-2020 07:00,18,1,2,2020,0,Wednesday,Winter,Evening,Adult,Explosive,22.5726,88.3639
17,03-01-2020 07:00,2020-01-01 16:00:00,02-01-2020 02:57,Ghaziabad,509,DRUG OFFENSE,61,M,Poison,Other Crime,6,No,,2,1,2,2020,0,Wednesday,Winter,Night,Senior,Chemical,28.775,77.4587
18,04-01-2020 02:00,2020-01-01 17:00:00,01-01-2020 23:09,Pune,342,ARSON,64,F,Other,Fire Accident,2,No,,23,1,2,2020,0,Wednesday,Winter,Night,Senior,Other,18.5214,73.8545
19,02-01-2020 20:00,2020-01-01 18:00:00,02-01-2020 10:42,Bangalore,480,CYBERCRIME,11,M,Unknown,Other Crime,3,Yes,24-01-2020 20:00,10,1,2,2020,0,Wednesday,Winter,Morning,Child,Unknown,12.9768,77.5901
20,03-01-2020 18:00,2020-01-01 19:00:00,02-01-2020 18:02,Bangalore,369,EXTORTION,62,F,Blunt Object,Other Crime,2,Yes,05-03-2020 18:00,18,1,2,2020,0,Wednesday,Winter,Evening,Senior,Blunt,12.9768,77.5901
21,03-01-2020 22:00,2020-01-01 20:00:00,02-01-2020 02:33,Hyderabad,251,TRAFFIC VIOLATION,50,F,Poison,Traffic Fatality,14,Yes,22-01-2020 22:00,2,1,2,2020,0,Wednesday,Winter,Night,Adult,Chemical,17.3606,78.4741
22,03-01-2020 12:00,2020-01-01 21:00:00,02-01-2020 10:11,Mumbai,374,VANDALISM,64,F,Other,Other Crime,15,Yes,03-03-2020 12:00,10,1,2,2020,0,Wednesday,Winter,Morning,Senior,Other,19.055,72.8692
23,02-01-2020 10:00,2020-01-01 22:00:00,01-01-2020 22:03,Jaipur,507,SHOPLIFTING,69,F,Blunt Object,Other Crime,13,No,,22,1,2,2020,0,Wednesday,Winter,Night,Senior,Blunt,26.9155,75.819
24,03-01-2020 09:00,2020-01-01 23:00:00,01-01-2020 23:40,Chennai,322,VANDALISM,77,F,Other,Other Crime,18,No,,23,1,2,2020,0,Wednesday,Winter,Night,Senior,Other,13.0837,80.2702
25,03-01-2020 01:00,2020-02-01 00:00:00,02-01-2020 20:47,Bangalore,527,DRUG OFFENSE,18,F,Other,Other Crime,1,No,,20,2,5,2020,1,Saturday,Winter,Evening,Young Adult,Other,12.9768,77.5901
26,02-01-2020 16:00,2020-02-01 01:00:00,02-01-2020 08:21,Jaipur,282,ASSAULT,60,M,Firearm,Violent Crime,15,Yes,12-03-2020 16:00,8,2,5,2020,1,Saturday,Winter,Morning,Senior,Firearm,26.9155,75.819
27,02-01-2020 06:00,2020-02-01 02:00:00,02-01-2020 04:02,Pune,247,IDENTITY THEFT,49,M,Blunt Object,Violent Crime,13,No,,4,2,5,2020,1,Saturday,Winter,Night,Adult,Blunt,18.5214,73.8545
28,02-01-2020 15:00,2020-02-01 03:00:00,02-01-2020 20:11,Lucknow,489,PUBLIC INTOXICATION,41,F,Unknown,Other Crime,7,No,,20,2,5,2020,1,Saturday,Winter,Evening,Adult,Unknown,26.8381,80.9346
29,04-01-2020 14:00,2020-02-01 04:00:00,02-01-2020 19:56,Bangalore,387,VANDALISM,33,F,Explosives,Other Crime,19,No,,19,2,5,2020,1,Saturday,Winter,Evening,Adult,Explosive,12.9768,77.5901
30,04-01-2020 23:00,2020-02-01 05:00:00,02-01-2020 09:35,Bhopal,517,BURGLARY,37,F,Unknown,Other Crime,4,No,,9,2,5,2020,1,Saturday,Winter,Morning,Adult,Unknown,23.2585,77.402
31,03-01-2020 07:00,2020-02-01 06:00:00,02-01-2020 13:06,Bhopal,570,HOMICIDE,32,F,Explosives,Other Crime,13,No,,13,2,5,2020,1,Saturday,Winter,Afternoon,Adult,Explosive,23.2585,77.402
32,04-01-2020 13:00,2020-02-01 07:00:00,02-01-2020 15:05,Hyderabad,222,VANDALISM,60,M,Knife,Other Crime,3,Yes,18-03-2020 13:00,15,2,5,2020,1,Saturday,Winter,Afternoon,Senior,Sharp,17.3606,78.4741
33,03-01-2020 04:00,2020-02-01 08:00:00,03-01-2020 03:01,Delhi,319,ILLEGAL POSSESSION,73,F,Knife,Other Crime,19,No,,3,2,5,2020,1,Saturday,Winter,Night,Senior,Sharp,28.6139,77.209
34,05-01-2020 07:00,2020-02-01 09:00:00,03-01-2020 02:40,Patna,575,VEHICLE - STOLEN,24,F,Explosives,Violent Crime,6,No,,2,2,5,2020,1,Saturday,Winter,Night,Young Adult,Explosive,25.6093,85.1235
35,04-01-2020 21:00,2020-02-01 10:00:00,02-01-2020 22:18,Kanpur,341,VANDALISM,34,F,Other,Other Crime,14,No,,22,2,5,2020,1,Saturday,Winter,Night,Adult,Other,26.4609,80.3218
36,04-01-2020 21:00,2020-02-01 11:00:00,02-01-2020 17:48,Chennai,396,COUNTERFEITING,32,F,Blunt Object,Other Crime,11,No,,17,2,5,2020,1,Saturday,Winter,Evening,Adult,Blunt,13.0837,80.2702
37,03-01-2020 05:00,2020-02-01 12:00:00,03-01-2020 00:18,Lucknow,187,SEXUAL ASSAULT,33,F,Blunt Object,Violent Crime,9,Yes,02-07-2020 05:00,0,2,5,2020,1,Saturday,Winter,Night,Adult,Blunt,26.8381,80.9346
38,04-01-2020 05:00,2020-02-01 13:00:00,02-01-2020 18:04,Varanasi,280,SHOPLIFTING,22,F,Explosives,Other Crime,14,No,,18,2,5,2020,1,Saturday,Winter,Evening,Young Adult,Explosive,25.3356,83.0076
39,03-01-2020 23:00,2020-02-01 14:00:00,02-01-2020 21:24,Surat,487,VEHICLE - STOLEN,32,F,Unknown,Violent Crime,13,Yes,11-03-2020 23:00,21,2,5,2020,1,Saturday,Winter,Night,Adult,Unknown,21.2095,72.8317
40,03-01-2020 02:00,2020-02-01 15:00:00,03-01-2020 14:05,Mumbai,154,FRAUD,69,F,Explosives,Other Crime,10,Yes,15-01-2020 02:00,14,2,5,2020,1,Saturday,Winter,Afternoon,Senior,Explosive,19.055,72.8692
41,05-01-2020 01:00,2020-02-01 16:00:00,03-01-2020 01:51,Visakhapatnam,148,HOMICIDE,28,F,Firearm,Other Crime,2,No,,1,2,5,2020,1,Saturday,Winter,Night,Young Adult,Firearm,17.6936,83.2921
42,03-01-2020 11:00,2020-02-01 17:00:00,03-01-2020 11:09,Surat,583,ILLEGAL POSSESSION,42,M,Blunt Object,Other Crime,6,No,,11,2,5,2020,1,Saturday,Winter,Morning,Adult,Blunt,21.2095,72.8317
43,03-01-2020 03:00,2020-02-01 18:00:00,03-01-2020 09:30,Delhi,172,FIREARM OFFENSE,40,M,Poison,Fire Accident,10,Yes,17-03-2020 03:00,9,2,5,2020,1,Saturday,Winter,Morning,Adult,Chemical,28.6139,77.209
44,04-01-2020 07:00,2020-02-01 19:00:00,03-01-2020 08:34,Mumbai,300,SEXUAL ASSAULT,44,M,Other,Violent Crime,7,No,,8,2,5,2020,1,Saturday,Winter,Morning,Adult,Other,19.055,72.8692
45,05-01-2020 19:00,2020-02-01 20:00:00,03-01-2020 06:22,Kolkata,387,ARSON,44,F,Blunt Object,Fire Accident,10,Yes,12-01-2020 19:00,6,2,5,2020,1,Saturday,Winter,Morning,Adult,Blunt,22.5726,88.3639
46,04-01-2020 19:00,2020-02-01 21:00:00,03-01-2020 09:02,Patna,297,DRUG OFFENSE,67,M,Knife,Other Crime,8,No,,9,2,5,2020,1,Saturday,Winter,Morning,Senior,Sharp,25.6093,85.1235
47,05-01-2020 04:00,2020-02-01 22:00:00,03-01-2020 09:55,Delhi,555,ROBBERY,47,F,Unknown,Violent Crime,9,No,,9,2,5,2020,1,Saturday,Winter,Morning,Adult,Unknown,28.6139,77.209
48,05-01-2020 17:00,2020-02-01 23:00:00,03-01-2020 03:42,Lucknow,128,FIREARM OFFENSE,38,F,Blunt Object,Fire Accident,14,Yes,14-03-2020 17:00,3,2,5,2020,1,Saturday,Winter,Night,Adult,Blunt,26.8381,80.9346
49,05-01-2020 19:00,2020-03-01 00:00:00,03-01-2020 02:59,Jaipur,139,ILLEGAL POSSESSION,77,F,Firearm,Other Crime,17,No,,2,3,6,2020,1,Sunday,Summer,Night,Senior,Firearm,26.9155,75.819
50,03-01-2020 13:00,2020-03-01 01:00:00,03-01-2020 06:06,Hyderabad,561,DRUG OFFENSE,37,F,Blunt Object,Other Crime,7,No,,6,3,6,2020,1,Sunday,Summer,Morning,Adult,Blunt,17.3606,78.4741
51,03-01-2020 05:00,2020-03-01 02:00:00,03-01-2020 17:10,Nagpur,573,BURGLARY,54,F,Other,Other Crime,12,Yes,13-04-2020 05:00,17,3,6,2020,1,Sunday,Summer,Evening,Adult,Other,21.1498,79.0821
52,05-01-2020 12:00,2020-03-01 03:00:00,03-01-2020 19:13,Kolkata,260,BURGLARY,38,F,Blunt Object,Other Crime,5,Yes,14-04-2020 12:00,19,3,6,2020,1,Sunday,Summer,Evening,Adult,Blunt,22.5726,88.3639
53,05-01-2020 00:00,2020-03-01 04:00:00,03-01-2020 22:01,Ghaziabad,211,PUBLIC INTOXICATION,29,M,Poison,Other Crime,15,Yes,20-01-2020 00:00,22,3,6,2020,1,Sunday,Summer,Night,Young Adult,Chemical,28.775,77.4587
54,05-01-2020 10:00,2020-03-01 05:00:00,03-01-2020 18:47,Delhi,312,BURGLARY,75,M,Explosives,Other Crime,2,No,,18,3,6,2020,1,Sunday,Summer,Evening,Senior,Explosive,28.6139,77.209
55,06-01-2020 02:00,2020-03-01 06:00:00,03-01-2020 07:47,Pune,548,FIREARM OFFENSE,61,F,Poison,Fire Accident,5,No,,7,3,6,2020,1,Sunday,Summer,Morning,Senior,Chemical,18.5214,73.8545
56,04-01-2020 04:00,2020-03-01 07:00:00,03-01-2020 11:11,Meerut,596,BURGLARY,49,F,Unknown,Other Crime,19,No,,11,3,6,2020,1,Sunday,Summer,Morning,Adult,Unknown,29.0019,77.768
57,06-01-2020 01:00,2020-03-01 08:00:00,03-01-2020 20:16,Kanpur,188,SEXUAL ASSAULT,67,F,Firearm,Violent Crime,8,Yes,20-07-2020 01:00,20,3,6,2020,1,Sunday,Summer,Evening,Senior,Firearm,26.4609,80.3218
58,03-01-2020 18:00,2020-03-01 09:00:00,03-01-2020 09:43,Ahmedabad,110,ASSAULT,70,F,Unknown,Violent Crime,15,No,,9,3,6,2020,1,Sunday,Summer,Morning,Senior,Unknown,23.0215,72.5801
59,04-01-2020 14:00,2020-03-01 10:00:00,04-01-2020 02:40,Chennai,449,TRAFFIC VIOLATION,75,F,Blunt Object,Traffic Fatality,16,No,,2,3,6,2020,1,Sunday,Summer,Night,Senior,Blunt,13.0837,80.2702
60,05-01-2020 18:00,2020-03-01 11:00:00,04-01-2020 05:33,Thane,352,SHOPLIFTING,53,F,Other,Other Crime,6,Yes,31-03-2020 18:00,5,3,6,2020,1,Sunday,Summer,Morning,Adult,Other,19.3654,73.3685
